value, var1, var2, var3, var4, var5, var6, var7, var8, var9, var10, var11, var12, var13, var14, var15, var16, var17, var18, var19,var20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9997.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9995.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9994.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9994.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9987.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9978.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9968.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9967.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9962.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9957.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9953.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9946.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9946.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9946.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,
9943.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,
9939.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,0.0,
9937.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,0.0,
9931.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,0.0,
9928.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,0.0,
9920.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,-3.0,
9912.0,-8.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,-2.0,
9896.0,-16.0,-8.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,-1.0,
9888.0,-8.0,-16.0,-8.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,0.0,
9875.0,-13.0,-8.0,-16.0,-8.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,-7.0,
9873.0,-2.0,-13.0,-8.0,-16.0,-8.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,-9.0,
9869.0,-4.0,-2.0,-13.0,-8.0,-16.0,-8.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,-10.0,
9864.0,-5.0,-4.0,-2.0,-13.0,-8.0,-16.0,-8.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,-1.0,
9861.0,-3.0,-5.0,-4.0,-2.0,-13.0,-8.0,-16.0,-8.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,-5.0,
9854.0,-7.0,-3.0,-5.0,-4.0,-2.0,-13.0,-8.0,-16.0,-8.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,-5.0,
9850.0,-4.0,-7.0,-3.0,-5.0,-4.0,-2.0,-13.0,-8.0,-16.0,-8.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,-4.0,
9835.0,-15.0,-4.0,-7.0,-3.0,-5.0,-4.0,-2.0,-13.0,-8.0,-16.0,-8.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,-7.0,
9833.0,-2.0,-15.0,-4.0,-7.0,-3.0,-5.0,-4.0,-2.0,-13.0,-8.0,-16.0,-8.0,-8.0,-3.0,-6.0,-2.0,-4.0,-3.0,0.0,0.0,
