value, var1, var2, var3, var4, var5, var6, var7, var8, var9, var10, var11, var12, var13, var14, var15, var16, var17, var18, var19,var20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9990.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9967.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9958.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9940.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9925.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10210.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10186.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10170.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10163.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10148.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10125.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10109.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10106.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10095.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,
10076.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,0.0,
10063.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,0.0,
10050.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,0.0,
10029.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,0.0,
10020.0,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,0.0,
10248.44,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,-10.0,
10233.44,-15.0,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,-23.0,
10204.44,-29.0,-15.0,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,-9.0,
10590.44,386.0,-29.0,-15.0,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,-18.0,
10575.44,-15.0,386.0,-29.0,-15.0,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,-15.0,
10571.44,-4.0,-15.0,386.0,-29.0,-15.0,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,285.0,
10559.44,-12.0,-4.0,-15.0,386.0,-29.0,-15.0,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,-24.0,
10548.44,-11.0,-12.0,-4.0,-15.0,386.0,-29.0,-15.0,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,-16.0,
10536.44,-12.0,-11.0,-12.0,-4.0,-15.0,386.0,-29.0,-15.0,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,-7.0,
10513.44,-23.0,-12.0,-11.0,-12.0,-4.0,-15.0,386.0,-29.0,-15.0,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,-15.0,
10503.44,-10.0,-23.0,-12.0,-11.0,-12.0,-4.0,-15.0,386.0,-29.0,-15.0,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,-23.0,
10479.44,-24.0,-10.0,-23.0,-12.0,-11.0,-12.0,-4.0,-15.0,386.0,-29.0,-15.0,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,-16.0,
10468.44,-11.0,-24.0,-10.0,-23.0,-12.0,-11.0,-12.0,-4.0,-15.0,386.0,-29.0,-15.0,228.4400000000005,-9.0,-21.0,-13.0,-13.0,-19.0,-11.0,-3.0,
