value, var1, var2, var3, var4, var5, var6, var7, var8, var9, var10, var11, var12, var13, var14, var15, var16, var17, var18, var19,var20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9984.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9966.98474003925,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9967.8288878824,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9954.34856875778,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9941.74856875778,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9939.84856875778,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9952.64035423168,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9961.1968111768,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9954.1968111768,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9945.8458737801,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9942.56562981589,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9925.56562981589,-17.0,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9909.56562981589,-16.0,-17.0,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9890.56562981589,-19.0,-16.0,-17.0,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,
9909.60178791891,19.03615810301926,-19.0,-16.0,-17.0,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,0.0,
9897.30489030521,-12.296897613699912,19.03615810301926,-19.0,-16.0,-17.0,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,0.0,
9886.30489030521,-11.0,-12.296897613699912,19.03615810301926,-19.0,-16.0,-17.0,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,0.0,
9872.10489030521,-14.199999999998909,-11.0,-12.296897613699912,19.03615810301926,-19.0,-16.0,-17.0,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,0.0,
9869.86001699081,-2.2448733144010475,-14.199999999998909,-11.0,-12.296897613699912,19.03615810301926,-19.0,-16.0,-17.0,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,0.0,
9891.77707779569,21.917060804880748,-2.2448733144010475,-14.199999999998909,-11.0,-12.296897613699912,19.03615810301926,-19.0,-16.0,-17.0,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,-16.0,
9911.92065715394,20.143579358249553,21.917060804880748,-2.2448733144010475,-14.199999999998909,-11.0,-12.296897613699912,19.03615810301926,-19.0,-16.0,-17.0,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,-17.015259960749972,
9906.87883962062,-5.041817533319772,20.143579358249553,21.917060804880748,-2.2448733144010475,-14.199999999998909,-11.0,-12.296897613699912,19.03615810301926,-19.0,-16.0,-17.0,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,0.8441478431504947,
9909.07241623013,2.1935766095102736,-5.041817533319772,20.143579358249553,21.917060804880748,-2.2448733144010475,-14.199999999998909,-11.0,-12.296897613699912,19.03615810301926,-19.0,-16.0,-17.0,-3.2802439642091485,-8.350937396700829,-7.0,8.556456945119862,12.791785473900745,-1.8999999999996362,-12.600000000000364,-13.480319124621019,
