value, var1, var2, var3, var4, var5, var6, var7, var8, var9, var10, var11, var12, var13, var14, var15, var16, var17, var18, var19,var20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9977.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9945.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9912.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9951.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9932.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9894.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10018.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9996.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9980.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9947.0,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10026.5435618018,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10004.5435618018,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9981.54356180184,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9966.54356180184,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,
9947.54356180184,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,0.0,
9985.83961585853,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,0.0,
9966.83961585853,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,0.0,
10012.8396158585,45.999999999970896,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,0.0,
10076.0010344715,63.161418612999114,45.999999999970896,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,0.0,
10166.0010344715,90.0,63.161418612999114,45.999999999970896,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,-23.0,
10245.5135238535,79.51248938200115,90.0,63.161418612999114,45.999999999970896,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,-32.0,
10205.5135238535,-40.0,79.51248938200115,90.0,63.161418612999114,45.999999999970896,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,-33.0,
10182.5135238535,-23.0,-40.0,79.51248938200115,90.0,63.161418612999114,45.999999999970896,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,39.0,
10166.5135238535,-16.0,-23.0,-40.0,79.51248938200115,90.0,63.161418612999114,45.999999999970896,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,-19.0,
10149.5135238535,-17.0,-16.0,-23.0,-40.0,79.51248938200115,90.0,63.161418612999114,45.999999999970896,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,-38.0,
10127.5135238535,-22.0,-17.0,-16.0,-23.0,-40.0,79.51248938200115,90.0,63.161418612999114,45.999999999970896,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,124.0,
10109.5135238535,-18.0,-22.0,-17.0,-16.0,-23.0,-40.0,79.51248938200115,90.0,63.161418612999114,45.999999999970896,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,-22.0,
10154.396313555,44.88278970149986,-18.0,-22.0,-17.0,-16.0,-23.0,-40.0,79.51248938200115,90.0,63.161418612999114,45.999999999970896,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,-16.0,
10195.396313555,41.0,44.88278970149986,-18.0,-22.0,-17.0,-16.0,-23.0,-40.0,79.51248938200115,90.0,63.161418612999114,45.999999999970896,-19.0,38.29605405668917,-19.0,-15.0,-22.999999999959982,-22.0,79.54356180180002,-33.0,
